Country Id,Countries,samesex,equalLiteracy,freedomPress,censorship,trafficking
AFG,Afghanistan,No,No,No,Yes,Yes
ALB,Albania,No,No,Partial,Yes,No
DZA,Algeria,No,No,No,Yes,No
AND,Andorra,No,No,Yes,Yes,Yes
AGO,Angola,No,No,No,Yes,Yes
ATG,Antigua and Barbuda,No,No,Partial,Yes,Yes
ARG,Argentina,Yes,Yes,Partial,Yes,No
ARM,Armenia,No,Yes,No,Yes,No
AUS,Australia,No,No,Yes,Yes,No
AUT,Austria,No,No,Yes,Yes,No
AZE,Azerbaijan,No,Yes,No,Yes,No
BHS,Bahamas,No,No,Yes,Yes,No
BHR,Bahrain,No,No,No,No,No
BGD,Bangladesh,No,No,Partial,Yes,No
BRB,Barbados,No,No,Yes,Yes,No
BLR,Belarus,No,Yes,No,No,No
BEL,Belgium,Yes,No,Yes,Yes,Yes
BLZ,Belize,No,Yes,Yes,Yes,Yes
BEN,Benin,No,No,Partial,Yes,Yes
BTN,Bhutan,No,No,Partial,Yes,Yes
BOL,Bolivia,No,No,Partial,Yes,No
BIH,Bosnia and Herzegovina,No,No,Partial,Yes,No
BWA,Botswana,No,Yes,Partial,Yes,No
BRA,Brazil,Yes,Yes,Partial,Yes,No
BRN,Brunei,No,No,No,Yes,No
BGR,Bulgaria,No,Yes,Partial,Yes,No
BFA,Burkina Faso,No,No,Partial,Yes,No
BDI,Burundi,No,No,No,Yes,Yes
CPV,Cape Verde,No,No,Yes,Yes,No
KHM,Cambodia,No,No,No,Yes,Yes
CMR,Cameroon,No,No,No,Yes,No
CAN,Canada,Yes,No,Yes,Yes,No
CAF,Central African Republic (CAR),No,No,No,Yes,No
TCD,Chad,No,No,No,Yes,Yes
CHL,Chile,No,Yes,Partial,Yes,No
CHN,China,No,No,No,No,No
COL,Colombia,Yes,Yes,Partial,Yes,No
COM,Comoros,No,No,Partial,Yes,No
COD,Democratic Republic of the Congo,No,No,No,Yes,No
COG,Republic of the Congo,No,No,Partial,Yes,No
CRI,Costa Rica,No,Yes,Yes,Yes,No
CIV,Cote d'Ivoire,No,No,No,Yes,Yes
HRV,Croatia,No,Yes,Partial,Yes,No
CUB,Cuba,No,Yes,No,No,No
CYP,Cyprus,No,Yes,Yes,Yes,No
CZE,Czech Republic,No,Yes,Yes,Yes,No
DNK,Denmark,Yes,Yes,Yes,Yes,No
DJI,Djibouti,No,No,No,Yes,Yes
DMA,Dominica,No,Yes,Yes,Yes,Yes
DOM,Dominican Republic,No,Yes,Partial,Yes,No
ECU,Ecuador,No,No,Partial,Yes,No
EGY,Egypt,No,No,Partial,Yes,No
SLV,El Salvador,No,No,Partial,Yes,No
GNQ,Equatorial Guinea,No,No,No,Yes,Yes
ERI,Eritrea,No,No,No,Yes,Yes
EST,Estonia,Partial,Yes,Yes,Yes,No
ETH,Ethiopia,No,No,No,No,Yes
FJI,Fiji,No,No,Partial,Yes,Yes
FIN,Finland,Yes,Yes,Yes,Yes,No
FRA,France,Yes,Yes,Yes,Yes,No
GAB,Gabon,No,No,No,Yes,No
GMB,Gambia,No,No,No,Yes,No
GEO,Georgia,No,Yes,Partial,Yes,Yes
DEU,Germany,No,Yes,Yes,Yes,No
GHA,Ghana,No,No,Yes,Yes,Yes
GRC,Greece,No,No,Yes,Yes,No
GRD,Grenada,No,Yes,Yes,Yes,No
GTM,Guatemala,No,No,Partial,Yes,No
GIN,Guinea,No,No,No,Yes,Yes
GNB,Guinea-Bissau,No,Yes,Partial,Yes,No
GUY,Guyana,No,No,Partial,Yes,No
HTI,Haiti,No,No,Partial,Yes,No
HND,Honduras,No,Yes,No,Yes,No
HUN,Hungary,No,Yes,Partial,Yes,No
ISL,Iceland,Yes,Yes,Yes,Yes,Yes
IND,India,No,No,Partial,No,No
IDN,Indonesia,No,No,Partial,Yes,Yes
